"HolderAddress","Balance","PendingBalanceUpdate"
"0x00cea7cf7061f2bd535de9f595fc836eb650d260","65","No"
"0x00ced1e37321aa2b086ea91f1427620d54e8b5a5","192.427702228928","No"
"0x00cf8947be7b836714e435f873a0684d77d17902","3.9E-07","No"
"0x00d1339d18b1c9c7257ba2de7775e7da6929a3a1","100.00749082","No"
"0x00d18ca9782be1caef611017c2fbc1a39779a57c","9.8E-05","No"
"0x00d4f6300b130dc335484b56894a9db43e659aaa","30","No"
"0x00d5c675f03be09448798b1f9ef5136002872355","23.8148938105644","No"
"0x00da170dcbe9db3388a3f062bf9cf49e7b9bfa36","99.979944818543","No"
"0x00db0601dae67631c34fd800cf250e9c2e37ed3d","100","No"
"0x00db208a3c8cec9f9c1fd18f10832c8042ba574f","0.0075207192097","No"
"0x00dc164288477bd0ebdab9080e2f5e09f0b8e2a1","102","No"
"0x00dcb1bdabcd8236f68c8d91df618cbf538a1256","105.199665581558","No"
"0x00de4b13153673bcae2616b67bf822500d325fc3","700","No"
"0x00df0cd7eb258c8b9afc1c19a1e652b3eafc103f","1500","No"
"0x00dfe5c882d00179cd74cedd460f98776952b731","200","No"
"0x00e01cc51c92a56558500df0c597df6c6e3c47bf","200","No"
"0x00e22b85d329650e35a9d664b7c408a57820f13f","250","No"
"0x00e35eff9ba2e1d1636672d41a2be12432d00c8d","100","No"
"0x00e4448492ed210b50b010040c9432bd25194ad4","100.01513692","No"
"0x00e943d91fec202a527e345f58a2e621eb73aaf8","100","No"
"0x00ebca6a38239d72e74bce4843c792cf2b98efb0","350","No"
"0x00ee00c8e2997e58566bbe6e57f24b7835ca99b5","51.5768541568401","No"
"0x00ef944f48097a97340f40e557edf374e6658019","100","No"
"0x00f0fa52fe33fcbd878200033e57ac66463bebf9","250","No"
"0x00f1162f18990f1695d21399828e3f3c88383093","9410.12856928736","No"
"0x00f1a11ed8713fb9990f885906f11e0631ec1e27","83.4789775258118","No"
"0x00f21ab48e24a71d67ebef41fddb812308c0de86","950","No"
"0x00f5e0008d7adc419767b45d41f967f74052de05","39","No"
"0x00f7285cd7ec7eaa5797d2d82e83138a9fc8c90c","1000","No"
"0x00f7b34fc6d35e654cb609624dd1830bb4695de7","338.10984555","No"
"0x00f7c69719119befee0a11c1cea7f0bda2ea5640","360","No"
"0x00f80001e75b0833f75a8f4ecf88146d6a80c68e","597.05581369","No"
"0x00f82a0760a7d8b4c88d30c80b34799543506f24","100","No"
"0x00f8dc18f1e38f6bb3eb95b571ba6147d22c7247","860","No"
"0x00f91b0cb8d4f60998a7539e0cd930c4d241eb59","100","No"
"0x00f9dc625cbf99f5195a76f04fc442bd23dce3db","200","No"
"0x00fab9755199e8154c96db50f7f119297e693ae9","100","No"
